kegg,name,EC,EC1,EC2,EC3,cog,cogid,cogcat,cogdesc
K00763,nicotinate phosphoribosyltransferase [EC:6.3.4.21],6.3.4.21,Ligases,Forming carbon-nitrogen bonds,Other carbon--nitrogen ligases,Nicotinic acid phosphoribosyltransferase,COG1488,H,Coenzyme metabolis
K00764,amidophosphoribosyltransferase [EC:2.4.2.14],2.4.2.14,Transferases,Glycosyltransferases,Pentosyltransferases,Glutamine phosphoribosylpyrophosphate amidotransferase,COG0034,F,Nucleotide metabolism and transport
K00765,ATP phosphoribosyltransferase [EC:2.4.2.17],2.4.2.17,Transferases,Glycosyltransferases,Pentosyltransferases,ATP phosphoribosyltransferase,COG0040,E,Amino Acid metabolis and transport
K00766,anthranilate phosphoribosyltransferase [EC:2.4.2.18],2.4.2.18,Transferases,Glycosyltransferases,Pentosyltransferases,Anthranilate phosphoribosyltransferase,COG0547,E,Amino Acid metabolis and transport
K00767,nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19],2.4.2.19,Transferases,Glycosyltransferases,Pentosyltransferases,Nicotinate-nucleotide pyrophosphorylase,COG0157,H,Coenzyme metabolis
K00768,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],2.4.2.21,Transferases,Glycosyltransferases,Pentosyltransferases,NaMN:DMB phosphoribosyltransferase,COG2038,H,Coenzyme metabolis
K00769,xanthine phosphoribosyltransferase [EC:2.4.2.22],2.4.2.22,Transferases,Glycosyltransferases,Pentosyltransferases,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein,COG0503,F,Nucleotide metabolism and transport
K00772,5'-methylthioadenosine phosphorylase [EC:2.4.2.28],2.4.2.28,Transferases,Glycosyltransferases,Pentosyltransferases,Purine nucleoside phosphorylase,COG0005,F,Nucleotide metabolism and transport
K00773,queuine tRNA-ribosyltransferase [EC:2.4.2.29],2.4.2.29,Transferases,Glycosyltransferases,Pentosyltransferases,Queuine/archaeosine tRNA-ribosyltransferase,COG0343,J,Tranlsation
K00782,L-lactate dehydrogenase complex protein LldG,NA,NA,NA,NA,"L-lactate utilization protein LutC, contains LUD domain",COG1556,C,Energy production and conversion
K00783,23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177],2.1.1.177,Transferases,Transferring one-carbon groups,Methyltransferases,23S rRNA pseudoU1915 N3-methylase RlmH,COG1576,J,Tranlsation
K00784,ribonuclease Z [EC:3.1.26.11],3.1.26.11,Hydrolases,Acting on ester bonds,Endoribonucleases producing 5'-phosphomonoesters,"Ribonuclease BN, tRNA processing enzyme",COG1234,J,Tranlsation
K00785,"beta-galactosamide-alpha-2,3-sialyltransferase [EC:2.4.99.-]",2.4.99.-,Transferases,Glycosyltransferases,Transferring other glycosyl groups,NA,NA,NA,NA
K00786,glycosyltransferase [EC:2.4.-.-],2.4.-.-,Transferases,Glycosyltransferases,Glycosyltransferases,NA,NA,NA,NA
K00787,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],2.5.1.1,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",NA,NA,NA,NA
K00788,thiamine-phosphate pyrophosphorylase [EC:2.5.1.3],2.5.1.3,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Thiamine monophosphate synthase,COG0352,H,Coenzyme metabolis
K00789,S-adenosylmethionine synthetase [EC:2.5.1.6],2.5.1.6,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",S-adenosylmethionine synthetase,COG0192,H,Coenzyme metabolis
K00790,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7],2.5.1.7,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",UDP-N-acetylglucosamine enolpyruvyl transferase,COG0766,M,Cell wall/membrane/envelop biogenesis
K00791,tRNA dimethylallyltransferase [EC:2.5.1.75],2.5.1.75,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",tRNA A37 N6-isopentenylltransferase MiaA,COG0324,J,Tranlsation
K00793,riboflavin synthase [EC:2.5.1.9],2.5.1.9,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Riboflavin synthase alpha chain,COG0307,H,Coenzyme metabolis
K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",2.5.1.78,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups","6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)",COG0054,H,Coenzyme metabolis
K00795,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],2.5.1.1,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Geranylgeranyl pyrophosphate synthase,COG0142,H,Coenzyme metabolis
K00796,dihydropteroate synthase [EC:2.5.1.15],2.5.1.15,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Dihydropteroate synthase,COG0294,H,Coenzyme metabolis
K00797,spermidine synthase [EC:2.5.1.16],2.5.1.16,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Spermidine synthase,COG0421,E,Amino Acid metabolis and transport
K00798,cob(I)alamin adenosyltransferase [EC:2.5.1.17],2.5.1.17,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Cob(I)alamin adenosyltransferase,COG2096,H,Coenzyme metabolis
K00799,glutathione S-transferase [EC:2.5.1.18],2.5.1.18,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Glutathione S-transferase,COG0625,O,"Post-translational modification, protein turnover, chaperone functions"
K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],2.5.1.19,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",5-enolpyruvylshikimate-3-phosphate synthase,COG0128,E,Amino Acid metabolis and transport
K00803,alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26],2.5.1.26,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",NA,NA,NA,NA
K00804,"geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]",2.5.1.1,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Geranylgeranyl pyrophosphate synthase,COG0142,H,Coenzyme metabolis
K00805,heptaprenyl diphosphate synthase [EC:2.5.1.30],2.5.1.30,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Geranylgeranyl pyrophosphate synthase,COG0142,H,Coenzyme metabolis
K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],2.5.1.31,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",Undecaprenyl pyrophosphate synthase,COG0020,I,Lipid metabolism
K00810,menadiol prenyltransferase [EC:2.5.1.-],2.5.1.-,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",NA,NA,NA,NA
K00811,"aspartate aminotransferase, chloroplastic [EC:2.6.1.1]",2.6.1.1,Transferases,Transferring nitrogenous groups,Transaminases,NA,NA,NA,NA
K00812,aspartate aminotransferase [EC:2.6.1.1],2.6.1.1,Transferases,Transferring nitrogenous groups,Transaminases,Aspartate/methionine/tyrosine aminotransferase,COG0436,E,Amino Acid metabolis and transport
K00813,aspartate aminotransferase [EC:2.6.1.1],2.6.1.1,Transferases,Transferring nitrogenous groups,Transaminases,Aspartate/tyrosine/aromatic aminotransferase,COG1448,E,Amino Acid metabolis and transport
K00817,histidinol-phosphate aminotransferase [EC:2.6.1.9],2.6.1.9,Transferases,Transferring nitrogenous groups,Transaminases,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase,COG0079,E,Amino Acid metabolis and transport
K00818,acetylornithine aminotransferase [EC:2.6.1.11],2.6.1.11,Transferases,Transferring nitrogenous groups,Transaminases,4-aminobutyrate aminotransferase or related aminotransferase,COG0160,E,Amino Acid metabolis and transport
K00819,ornithine--oxo-acid transaminase [EC:2.6.1.13],2.6.1.13,Transferases,Transferring nitrogenous groups,Transaminases,4-aminobutyrate aminotransferase or related aminotransferase,COG0160,E,Amino Acid metabolis and transport
K00820,glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],2.6.1.16,Transferases,Transferring nitrogenous groups,Transaminases,"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains",COG0449,M,Cell wall/membrane/envelop biogenesis
K00821,acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17],2.6.1.11,Transferases,Transferring nitrogenous groups,Transaminases,4-aminobutyrate aminotransferase or related aminotransferase,COG0160,E,Amino Acid metabolis and transport
K00822,beta-alanine--pyruvate transaminase [EC:2.6.1.18],2.6.1.18,Transferases,Transferring nitrogenous groups,Transaminases,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,COG0161,H,Coenzyme metabolis
K00823,4-aminobutyrate aminotransferase [EC:2.6.1.19],2.6.1.19,Transferases,Transferring nitrogenous groups,Transaminases,4-aminobutyrate aminotransferase or related aminotransferase,COG0160,E,Amino Acid metabolis and transport
K00824,D-alanine transaminase [EC:2.6.1.21],2.6.1.21,Transferases,Transferring nitrogenous groups,Transaminases,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,COG0115,E,Amino Acid metabolis and transport
K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42],2.6.1.42,Transferases,Transferring nitrogenous groups,Transaminases,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,COG0115,E,Amino Acid metabolis and transport
K00831,phosphoserine aminotransferase [EC:2.6.1.52],2.6.1.52,Transferases,Transferring nitrogenous groups,Transaminases,Phosphoserine aminotransferase,COG1932,H,Coenzyme metabolis
K00832,aromatic-amino-acid transaminase [EC:2.6.1.57],2.6.1.57,Transferases,Transferring nitrogenous groups,Transaminases,Aspartate/tyrosine/aromatic aminotransferase,COG1448,E,Amino Acid metabolis and transport
K00833,adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62],2.6.1.62,Transferases,Transferring nitrogenous groups,Transaminases,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,COG0161,H,Coenzyme metabolis
K00835,valine--pyruvate aminotransferase [EC:2.6.1.66],2.6.1.66,Transferases,Transferring nitrogenous groups,Transaminases,Aspartate/methionine/tyrosine aminotransferase,COG0436,E,Amino Acid metabolis and transport
K00836,diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76],2.6.1.76,Transferases,Transferring nitrogenous groups,Transaminases,4-aminobutyrate aminotransferase or related aminotransferase,COG0160,E,Amino Acid metabolis and transport
K00837,aromatic aminotransferase [EC:2.6.1.-],2.6.1.-,Transferases,Transferring nitrogenous groups,Transaminases,NA,NA,NA,NA
K00839,(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112],2.6.1.112,Transferases,Transferring nitrogenous groups,Transaminases,"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG",COG0075,E,Amino Acid metabolis and transport
K00840,succinylornithine aminotransferase [EC:2.6.1.81],2.6.1.81,Transferases,Transferring nitrogenous groups,Transaminases,4-aminobutyrate aminotransferase or related aminotransferase,COG0160,E,Amino Acid metabolis and transport
K00841,aminotransferase [EC:2.6.1.-],2.6.1.-,Transferases,Transferring nitrogenous groups,Transaminases,Aspartate/methionine/tyrosine aminotransferase,COG0436,E,Amino Acid metabolis and transport
K00842,uncharacterized protein,NA,NA,NA,NA,Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities,COG1168,E,Amino Acid metabolis and transport
K00844,hexokinase [EC:2.7.1.1],2.7.1.1,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,NA,NA,NA,NA
K00845,glucokinase [EC:2.7.1.2],2.7.1.2,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Glucokinase,COG0837,G,Carbohydrate metabolism and transport
K00847,fructokinase [EC:2.7.1.4],2.7.1.4,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,"Sugar or nucleoside kinase, ribokinase family",COG0524,G,Carbohydrate metabolism and transport
K00848,rhamnulokinase [EC:2.7.1.5],2.7.1.5,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Sugar (pentulose or hexulose) kinase,COG1070,G,Carbohydrate metabolism and transport
K00849,galactokinase [EC:2.7.1.6],2.7.1.6,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Galactokinase,COG0153,G,Carbohydrate metabolism and transport
K00850,6-phosphofructokinase 1 [EC:2.7.1.11],2.7.1.11,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,6-phosphofructokinase,COG0205,G,Carbohydrate metabolism and transport
K00851,gluconokinase [EC:2.7.1.12],2.7.1.12,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Gluconate kinase,COG3265,G,Carbohydrate metabolism and transport
K00852,ribokinase [EC:2.7.1.15],2.7.1.15,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,"Sugar or nucleoside kinase, ribokinase family",COG0524,G,Carbohydrate metabolism and transport
K00853,L-ribulokinase [EC:2.7.1.16],2.7.1.16,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Ribulose kinase,COG1069,G,Carbohydrate metabolism and transport
K00854,xylulokinase [EC:2.7.1.17],2.7.1.17,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Sugar (pentulose or hexulose) kinase,COG1070,G,Carbohydrate metabolism and transport
K00855,phosphoribulokinase [EC:2.7.1.19],2.7.1.19,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Uridine kinase,COG0572,F,Nucleotide metabolism and transport
K00856,adenosine kinase [EC:2.7.1.20],2.7.1.20,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,"Sugar or nucleoside kinase, ribokinase family",COG0524,G,Carbohydrate metabolism and transport
K00857,thymidine kinase [EC:2.7.1.21],2.7.1.21,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Thymidine kinase,COG1435,F,Nucleotide metabolism and transport
K00858,NAD+ kinase [EC:2.7.1.23],2.7.1.23,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,NAD kinase,COG0061,F,Nucleotide metabolism and transport
K00859,dephospho-CoA kinase [EC:2.7.1.24],2.7.1.24,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Dephospho-CoA kinase,COG0237,H,Coenzyme metabolis
K00860,adenylylsulfate kinase [EC:2.7.1.25],2.7.1.25,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Adenylylsulfate kinase or related kinase,COG0529,P,Inorganic ion transport and metabolism
K00863,triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15],2.7.1.28,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Dihydroxyacetone kinase,COG2376,G,Carbohydrate metabolism and transport
K00864,glycerol kinase [EC:2.7.1.30],2.7.1.30,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Glycerol kinase,COG0554,C,Energy production and conversion
K00865,glycerate 2-kinase [EC:2.7.1.165],2.7.1.165,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Glycerate kinase,COG1929,G,Carbohydrate metabolism and transport
K00867,type I pantothenate kinase [EC:2.7.1.33],2.7.1.33,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Panthothenate kinase,COG1072,H,Coenzyme metabolis
K00868,pyridoxine kinase [EC:2.7.1.35],2.7.1.35,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Pyridoxal/pyridoxine/pyridoxamine kinase,COG2240,H,Coenzyme metabolis
K00869,mevalonate kinase [EC:2.7.1.36],2.7.1.36,Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor,Mevalonate kinase,COG1577,I,Lipid metabolism
K00870,uncharacterized protein,NA,NA,NA,NA,Serine/threonine protein kinase,COG0515,T,Signal Transduction
